0 START simple_strategy 20
0 ADD 0 0
1 MOVE 0 1
2 MOVE 0 0
3 MOVE 0 1
4 ADD 1 2
5 MOVE 0 0
6 MOVE 1 4
7 MOVE 1 2
8 MOVE 0 1
9 MOVE 0 0
10 MOVE 1 4
11 MOVE 1 2
12 MOVE 0 1
13 MOVE 0 0
14 MOVE 1 4
15 MOVE 1 2
16 MOVE 0 1
17 MOVE 0 0
18 MOVE 1 4
19 MOVE 1 2
20 MOVE 0 1
21 MOVE 0 0
22 MOVE 1 4
23 MOVE 1 2
24 MOVE 0 1
25 MOVE 0 0
26 MOVE 1 4
27 MOVE 1 2
28 MOVE 0 1
29 MOVE 0 0
30 MOVE 1 4
31 MOVE 1 2
32 ADD 2 6
33 MOVE 0 1
34 ADD 3 2
35 MOVE 0 0
36 MOVE 3 4
37 MOVE 1 4
38 ADD 4 2
39 MOVE 0 1
40 ADD 5 0
41 MOVE 5 1
42 ADD 6 12
43 MOVE 5 0
44 MOVE 0 0
45 MOVE 4 4
46 MOVE 4 2
47 REMOVE 1
47 CASH 1
48 REMOVE 3
48 CASH 18
49 MOVE 2 9
50 MOVE 2 6
51 ADD 7 12
52 MOVE 0 1
53 MOVE 5 1
54 MOVE 5 0
55 ADD 8 2
56 MOVE 5 1
57 MOVE 5 0
58 MOVE 0 0
59 MOVE 8 4
60 MOVE 4 4
61 MOVE 4 2
62 MOVE 8 2
63 MOVE 2 9
64 MOVE 2 6
65 REMOVE 7
65 CASH 18
66 MOVE 6 16
67 MOVE 6 12
68 MOVE 0 1
69 MOVE 5 1
70 MOVE 5 0
71 MOVE 0 0
72 ADD 9 12
73 MOVE 0 1
74 MOVE 5 1
75 MOVE 5 0
76 MOVE 0 0
77 MOVE 8 4
78 MOVE 4 4
79 MOVE 4 2
80 MOVE 8 2
81 MOVE 2 9
82 MOVE 2 6
83 MOVE 9 16
84 MOVE 6 16
85 MOVE 6 12
86 MOVE 9 12
87 MOVE 0 1
88 MOVE 5 1
89 MOVE 5 0
90 MOVE 0 0
91 MOVE 8 4
92 MOVE 4 4
93 MOVE 4 2
94 MOVE 8 2
95 MOVE 2 9
96 MOVE 2 6
