0 START simple_strategy 35
0 ADD 0 6
1 MOVE 0 9
2 MOVE 0 6
3 MOVE 0 9
4 MOVE 0 6
5 MOVE 0 9
6 MOVE 0 6
7 MOVE 0 9
8 MOVE 0 6
9 MOVE 0 9
10 MOVE 0 6
11 MOVE 0 9
12 MOVE 0 6
13 MOVE 0 9
14 ADD 1 0
15 MOVE 1 1
16 MOVE 1 0
17 MOVE 0 6
18 MOVE 1 1
19 MOVE 1 0
20 MOVE 0 9
21 MOVE 0 6
22 MOVE 1 1
23 MOVE 1 0
24 MOVE 0 9
25 MOVE 0 6
26 MOVE 1 1
27 MOVE 1 0
28 MOVE 0 9
29 MOVE 0 6
30 MOVE 1 1
31 MOVE 1 0
32 MOVE 0 9
33 MOVE 0 6
34 MOVE 1 1
35 MOVE 1 0
36 MOVE 0 9
37 MOVE 0 6
38 MOVE 1 1
39 MOVE 1 0
40 MOVE 0 9
41 MOVE 0 6
42 MOVE 1 1
43 MOVE 1 0
44 MOVE 0 9
45 MOVE 0 6
46 MOVE 1 1
47 MOVE 1 0
48 MOVE 0 9
49 MOVE 0 6
50 MOVE 1 1
51 MOVE 1 0
52 MOVE 0 9
53 MOVE 0 6
54 ADD 2 0
55 MOVE 2 1
56 MOVE 1 1
57 MOVE 1 0
58 MOVE 2 0
59 MOVE 0 9
60 MOVE 0 6
61 MOVE 2 1
62 MOVE 1 1
63 MOVE 1 0
64 MOVE 2 0
65 MOVE 0 9
66 MOVE 0 6
67 MOVE 2 1
68 MOVE 1 1
69 MOVE 1 0
70 MOVE 2 0
71 MOVE 0 9
72 MOVE 0 6
73 MOVE 2 1
74 MOVE 1 1
75 MOVE 1 0
76 MOVE 2 0
77 MOVE 0 9
78 MOVE 0 6
79 MOVE 2 1
80 MOVE 1 1
81 MOVE 1 0
82 MOVE 2 0
83 MOVE 0 9
84 MOVE 0 6
85 MOVE 2 1
86 MOVE 1 1
87 MOVE 1 0
88 MOVE 2 0
89 MOVE 0 9
90 MOVE 0 6
91 MOVE 2 1
92 MOVE 1 1
93 MOVE 1 0
94 MOVE 2 0
95 MOVE 0 9
96 ADD 3 2
97 MOVE 2 1
98 MOVE 1 1
99 MOVE 1 0
100 MOVE 2 0
101 MOVE 3 4
102 MOVE 3 2
103 MOVE 0 6
104 MOVE 2 1
105 MOVE 1 1
106 MOVE 1 0
107 MOVE 2 0
108 MOVE 3 4
109 MOVE 3 2
110 MOVE 0 9
111 MOVE 0 6
112 MOVE 2 1
113 MOVE 1 1
114 MOVE 1 0
115 MOVE 2 0
116 MOVE 3 4
117 MOVE 3 2
118 MOVE 0 9
119 MOVE 0 6
120 MOVE 2 1
121 MOVE 1 1
122 ADD 4 2
123 MOVE 1 0
124 MOVE 2 0
125 MOVE 4 4
126 MOVE 3 4
127 MOVE 3 2
128 MOVE 4 2
129 MOVE 0 9
130 MOVE 0 6
131 MOVE 2 1
132 MOVE 1 1
133 MOVE 1 0
134 MOVE 2 0
135 MOVE 4 4
136 MOVE 3 4
137 MOVE 3 2
138 MOVE 4 2
139 MOVE 0 9
140 MOVE 0 6
141 MOVE 2 1
142 MOVE 1 1
143 MOVE 1 0
144 MOVE 2 0
145 MOVE 4 4
146 MOVE 3 4
147 MOVE 3 2
148 MOVE 4 2
149 MOVE 0 9
150 MOVE 0 6
151 MOVE 2 1
152 MOVE 1 1
153 MOVE 1 0
154 MOVE 2 0
155 MOVE 4 4
156 MOVE 3 4
157 MOVE 3 2
158 MOVE 4 2
159 MOVE 0 9
160 MOVE 0 6
161 MOVE 2 1
162 MOVE 1 1
163 MOVE 1 0
164 MOVE 2 0
165 MOVE 4 4
166 ADD 5 6
167 MOVE 2 1
168 MOVE 1 1
169 MOVE 1 0
170 MOVE 2 0
171 MOVE 3 4
172 MOVE 3 2
173 MOVE 4 2
174 MOVE 5 9
175 MOVE 0 9
176 MOVE 0 6
177 MOVE 5 6
178 MOVE 2 1
179 MOVE 1 1
180 MOVE 1 0
181 MOVE 2 0
182 MOVE 4 4
183 MOVE 3 4
184 MOVE 3 2
185 MOVE 4 2
186 MOVE 5 9
187 MOVE 0 9
188 MOVE 0 6
189 MOVE 5 6
190 MOVE 2 1
191 MOVE 1 1
192 MOVE 1 0
193 MOVE 2 0
194 MOVE 4 4
195 MOVE 3 4
196 MOVE 3 2
197 MOVE 4 2
198 MOVE 5 9
199 MOVE 0 9
200 MOVE 0 6
201 MOVE 5 6
202 MOVE 2 1
203 MOVE 1 1
204 MOVE 1 0
205 MOVE 2 0
206 MOVE 4 4
207 MOVE 3 4
208 MOVE 3 2
209 MOVE 4 2
210 MOVE 5 9
211 MOVE 0 9
212 MOVE 0 6
213 MOVE 5 6
214 MOVE 2 1
215 MOVE 1 1
216 MOVE 1 0
217 MOVE 2 0
218 MOVE 4 4
219 MOVE 3 4
220 MOVE 3 2
221 MOVE 4 2
222 MOVE 5 9
223 MOVE 0 9
224 MOVE 0 6
225 MOVE 5 6
226 MOVE 2 1
227 MOVE 1 1
228 MOVE 1 0
229 MOVE 2 0
230 MOVE 4 4
231 MOVE 3 4
232 MOVE 3 2
233 MOVE 4 2
234 MOVE 5 9
235 MOVE 0 9
236 MOVE 0 6
237 MOVE 5 6
238 MOVE 2 1
239 MOVE 1 1
240 MOVE 1 0
241 MOVE 2 0
242 MOVE 4 4
243 MOVE 3 4
244 MOVE 3 2
245 MOVE 4 2
246 MOVE 5 9
247 MOVE 0 9
248 MOVE 0 6
249 MOVE 5 6
250 MOVE 2 1
251 MOVE 1 1
252 MOVE 1 0
253 MOVE 2 0
254 MOVE 4 4
255 MOVE 3 4
256 MOVE 3 2
257 MOVE 4 2
258 MOVE 5 9
259 MOVE 0 9
260 MOVE 0 6
261 MOVE 5 6
262 MOVE 2 1
263 MOVE 1 1
264 MOVE 1 0
265 MOVE 2 0
266 ADD 6 0
267 MOVE 6 1
268 MOVE 2 1
269 MOVE 1 1
270 MOVE 1 0
271 MOVE 2 0
272 MOVE 6 0
273 MOVE 4 4
274 MOVE 3 4
275 MOVE 3 2
276 MOVE 4 2
277 MOVE 5 9
278 MOVE 0 9
279 MOVE 0 6
280 MOVE 5 6
281 MOVE 6 1
282 MOVE 2 1
283 MOVE 1 1
284 MOVE 1 0
285 MOVE 2 0
286 MOVE 6 0
287 ADD 7 6
288 MOVE 6 1
289 MOVE 2 1
290 MOVE 1 1
291 MOVE 1 0
292 MOVE 2 0
293 MOVE 6 0
294 MOVE 4 4
295 MOVE 3 4
296 MOVE 3 2
297 MOVE 4 2
298 MOVE 7 9
299 MOVE 5 9
300 MOVE 0 9
301 MOVE 0 6
302 MOVE 5 6
303 MOVE 7 6
304 MOVE 6 1
305 MOVE 2 1
306 MOVE 1 1
307 MOVE 1 0
308 MOVE 2 0
309 MOVE 6 0
310 MOVE 4 4
311 MOVE 3 4
312 MOVE 3 2
313 MOVE 4 2
314 MOVE 7 9
315 MOVE 5 9
316 MOVE 0 9
317 ADD 8 12
318 MOVE 6 1
319 MOVE 2 1
320 MOVE 1 1
321 ADD 9 6
322 MOVE 1 0
323 MOVE 2 0
324 MOVE 6 0
325 MOVE 4 4
326 MOVE 3 4
327 MOVE 3 2
328 MOVE 4 2
329 MOVE 9 9
330 MOVE 9 6
331 MOVE 0 6
332 MOVE 5 6
333 MOVE 7 6
334 REMOVE 8
334 CASH 3
335 MOVE 6 1
336 MOVE 2 1
337 MOVE 1 1
338 MOVE 1 0
339 MOVE 2 0
340 MOVE 6 0
341 MOVE 4 4
342 MOVE 3 4
343 ADD 10 2
344 MOVE 6 1
345 MOVE 2 1
346 MOVE 1 1
347 MOVE 1 0
348 MOVE 2 0
349 MOVE 6 0
350 MOVE 10 4
351 MOVE 10 2
352 MOVE 3 2
353 MOVE 4 2
354 MOVE 7 9
355 MOVE 5 9
356 MOVE 0 9
357 ADD 11 0
358 MOVE 11 1
359 MOVE 6 1
360 MOVE 2 1
361 MOVE 1 1
362 MOVE 1 0
363 MOVE 2 0
364 MOVE 6 0
365 MOVE 11 0
366 MOVE 4 4
367 MOVE 3 4
368 MOVE 10 4
369 MOVE 10 2
370 MOVE 3 2
371 MOVE 4 2
372 MOVE 9 9
373 MOVE 9 6
374 MOVE 0 6
375 MOVE 5 6
